Name;Price;Ingredients;Photo URL;
Nivea Hairmilk Shine;13.89;Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Decyl Glucoside, Coco-Glucoside, Sodium Chloride, Citric Acid, Magnolia Officinalis Bark Extract, Prunus Amygdalus Dulcis Oil, Hydrogenated Lecithin, Cocos Nucifera Fruit Extract, Guar Hydroxypropyltrimonium Chloride, Glycerin, Glyceryl Oleate, Dicaprylyl Ether, Glycol Distearate, Hydrogenated Castor Oil, Sodium, Benzoate, Benzoic Acid, Parfum;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwa316070f/images/hi-res/312608__Nivea_Hairmilk_Shine_Szampon_dla_naturalnego_polysku_400ml__BB__1__p.png?sw=600&sh=600&sm=fit;
Schauma 7 Herbs;9.49;Aqua (Water, Eau),Sodium Laureth Sulfate,Sodium Chloride,Cocamidopropyl Betaine,Chamomilla Recutita (Matricaria) Flower Extract,Salvia Officinalis (Sage) Leaf Extract,Melissa Officinalis Leaf Extract,Urtica Dioica (Nettle) Extract,Equisetum Arvense Extract,Rosmarinus Officinalis (Rosemary) Leaf Extract,Humulus Lupulus (Hops) Extract,Sodium Benzoate,Coco-Glucoside,Glyceryl Oleate,Citric Acid,Glycol Distearate,Parfum (Fragrance),Laureth-4,PEG-7 Glyceryl Cocoate,Hydrogenated Castor Oil,Linalool,Hydroxypropyl Guar Hydroxypropyltrimonium Chloride,Sodium Hydroxide,Hexyl Cinnamal,Benzyl Alcohol,Propylene Glycol,Butylene Glycol,Phenoxyethanol,Methyl Benzoate,Potassium Sorbate,CI 47005,CI 42090 (Blue 1);https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw19675c75/images/hi-res/217470__Schauma_7_Herbs_Freshness_Szampon_doetluszczajacych_sie_i_normalnych_400_ml__BB__1__p.png?sw=600&sh=600&sm=fit;
Alpecin Caffeine Shampoo C1;34.99;WODA, ETOKSYLOWANY LAURYLOSIARCZAN SODU, ALKOHOL LAURYLOWY OKSYETYLENOWANY 2 MOLAMI TLENKU ETYLENU, LAURYLOSIARCZANOBURSZTYNIAN DWUSODU, CHLOREK SODU, LAUROILOGLUTAMINIAN SODU, KOFEINA, PANTENOL, DIOLEINIAN METYLO-D-GLUKOPIRANOZYDU OKSYETYLENOWANY 120 MOLAMI TLENKU ETYLENU, HYDROLIZOWANE BIAŁKO PSZENICZNE, KWAS CYTRYNOWY, CYTRYNIAN SODU, GLIKOL PROPYLENOWY, MENTOL, UWODORNIONY OLEJ RYCYNOWY POLIOKSYETYLENOWANY 40 MOLAMI TLENKU ETYLENU, POLYQUATERNIUM-7, SÓL DWUSODOWA KWASU WERSENOWEGO, PIROLIDYNOKARBOKSYLAN CYNKU, NIKOTYNAMID, TOKOFEROL, OLEJ ROŚLINNY, SORBINIAN POTASU, BENZOESAN SODU, FENOKSYETANOL, SUBSTANCJE ZAPACHOWE, LIMONEN, CI 42090, CI 60730.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw170ca5da/images/hi-res/531230_szampon_do_wlosow_250_ml_1_1982296_j.jpg?sw=600&sh=600&sm=fit;
Mustela;39.99;AQUA/WATER/EAU, GLYCERIN, COCAMIDOPROPYL BETAINE, SODIUM MYRETH SULFATE, COCO-GLUCOSIDE, GLYCERYL CAPRYLATE, PEG-150 DISTEARATE, PARFUM (FRAGRANCE], POLYQUATERNIUM-10, PANTHENOL, CITRIC ACID, POTASSIUM SORBATE, BUTYLENE GLYCOL, CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT, PERSEA GRATISSIMA (AVOCADO) FRUIT EXTRACT, CARAMEL.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw0402f7a7/images/hi-res/429510__delikatny_szampon_do_wlosow_dla_dzieci__200_ml__abc__1__reviewed__p.png?sw=600&sh=600&sm=fit;
Cocopalm Southern Tropics SPA;48.09;Aqua, Sodium Cocoyl Sarcosinate, Caprylyl/Capryl Glucoside, Cocamidopropyl Betaine, PEG-150 Pentaerythrityl Tetrastearate, Citric Acid, Cocos Nucifera Oil, PEG-6 Caprylic/Capric Glycerides, Hibiscus Sabdariffa Flower Extract, Cocos Nucifera Fruit Extract, Euterpe Oleracea Fruit Extract, Sodium PEG-7 Olive Oil Carboxylate, Panthenol, Polyquaternium-10, Glycerin, Sodium Chloride, Potassium Sorbate, Phenoxyethanol, Ethylhexylglycerin, Sodium Benzoate, Parfum, Hexyl Cinnamal, Linalool, Limonene, Citronellol, Benzyl Alcohol.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw9fb99f48/images/hi-res/379336__Cocopalm_Szampon_do_wlosow_z_organicym_olejem_kokosowym_i_hibiskusem_600_ml__BB__1__p.png?sw=600&sh=600&sm=fit;
Kundal Honey & Macadamia;49.59;Water,Disodium Laureth Sulfosuccinate,Glycerin,Lauryl Glucoside,Lauryl Betaine,Decyl Glucoside,1,2-Hexanediol,Honey Extract,Macadamia Ternifolia Seed Extract,Hydrolyzed Keratin,Hydrolyzed Silk,Milk Protein Extract,Copper Tripeptide-1,Butyrospermum Parkii (Shea) Butter,Argania Spinosa Kernel Oil,Simmondsia Chinensis (Jojoba) Seed Oil,Cocos Nucifera (Coconut) Oil,Persea Gratissima (Avocado) Oil,Diospyros Kaki Fruit Extract,Camellia Japonica Leaf Extract,Ceratonia Siliqua (Carob) Fruit Extract,Centella Asiatica Extract,Camellia Sinensis Leaf Extract,Polygonum Cuspidatum Root Extract,Scutellaria Baicalensis Root Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Rosmarinus Officinalis (Rosemary) Leaf Extract,Chamomilla Recutita (Matricaria) Flower Extract,Rosa Damascena Flower Extract,Arnica Montana Flower Extract,Sophora Angustifolia Root Extract,Acorus Calamus Root Extract,Polygonum Multiflorum Root Extract,Morus Alba Root Extract,Swertia Japonica Extract,Yucca Schidigera Root Extract,Brassica Campestris (Rapeseed) Sprout Extract,Brassica Oleracea Italica (Broccoli) Sprout Extract,Glycine Soja (Soybean) Sprout Extract,Triticum Vulgare (Wheat) Sprout Extract,Magnolia Kobus Bark Extract,Salix Alba (Willow) Bark Extract,Cinnamomum Cassia Bark Extract,Portulaca Oleracea Extract,Chamaecyparis Obtusa Leaf Extract,Origanum Vulgare Leaf Extract,Lactobacillus/Soybean Ferment Extract,Butylene Glycol,Polyquaternium-10,Sodium Chloride,Sodium Sulfite,Citric Acid,Arginine,Disodium EDTA,Fragrance;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwb3f30bf6/images/hi-res/365136__Kundal_Honey__Macadamia_Cherry_Blossom_Szampon_do_wlosow_500_ml__BB__1__p.png?sw=600&sh=600&sm=fit;
L'biotica Biovax Trychologic;29.99;Aqua,Sodium Laureth Sulfate,Lauryl Glucoside,Cocamidopropyl Betaine,Glycerin,Sorbitol,Piroctone Olamine,Coco- Glucoside,Glyceryl Oleate,PEG-7 Glyceryl Cocoate,Cetrimonium Chloride,Polyquaternium-10,Lactobacillus Ferment,Panthenol,Tocopherol,succinic acid,Hydroxyethyl Urea,Xylitylglucoside,Anhydroxylitol,Xylitol,Hydrogenated Palm Glycerides Citrate,Lecithin,Ascorbyl Palmitate,Citric Acid,TETRASODIUM GLUTAMATE DIACETATE,Sodium Benzoate,Potassium Sorbate,Parfum,Geraniol,hexyl cinnamal;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwbeefe21b/images/hi-res/453665__Biovax_Trychologic_szampon_lupiez_200_ml__BB__1__p.png?sw=600&sh=600&sm=fit;
Seboradin Forte;35.99;Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Cocamide DEA, Lauryl Glucoside, Glycol Cetearate, Polyquaternium-7, Coco Glucoside, Glyceryl Oleate, Glycerin, Parfum, Butylene Glycol, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Apigenin, Oleanolic Acid, Biotinyl Tripeptide-1, Alcohol Denat., Panax Ginseng Root Extract, Lecithin, Sorbitol, Xanthan Gum, Hammamelis Virginiana Extract, Diathomeaceous Earth, Disodium EDTA, Tocopheryl Acetate, Glyceryl Linoleate, Glyceryl Linolenate, Panthenol, Phenoxyethanol, Caprylyl Glycol, Glyceryl Caprylate, Sodium Chloride, Benzyl Alcohol, Methylchloroisothiazolinone, Methylisothiazolinone, Hexyl Cinnamal, Limonene, Geraniol, Linalool, Citric Acid.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw269e9916/images/hi-res/233511__Seboradin_Forte_Szampon_przeciw_wypadaniu_wlosow_200_ml__BB__1__p.png?sw=600&sh=600&sm=fit;
Head&Shoulders Apple Fresh;19.89;Aqua, Sodium Laureth Sulfate, Sodium Xylenesulfonate, Cocamidopropyl Betaine, Sodium Citrate, Parfum, Citric Acid, Cocamide MEA, Glycol Distearate, Piroctone Olamine, Dimethiconol, Sodium Chloride, Guar Hydroxypropyltrimonium Chloride, Dimethicone, Sodium Benzoate, TEA-Dodecylbenzenesulfonate, Sodium Salicylate, Tetrasodium EDTA, Sodium Hydroxide, Trideceth-10, Glycerin, Hexyl Cinnamal, Niacinamide, Panthenol, Tocopheryl Acetate, Acetic Acid, CI 19140, Benzyl Alcohol, Triethylene Glycol, Propylene Glycol, CI 42090;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dweb81037a/images/hi-res/238921__Head__Shoulders_Apple_Fresh_Codziennpon_Przeciwlupiezowy_400_ml_Kazde_Wlosy__BB__596__p.png?sw=600&sh=600&sm=fit;
Nivea Men Strong Power;13.79;Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Decyl Glucoside, Maris Sal, Guar Hydroxypropyltrimonium Chloride, Citric Acid, Sodium Chloride, Sodium Benzoate, Linalool, Parfum;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwcfcdfefb/images/hi-res/379849__Nivea_MEN_Strong_Power_Szampon_do_wlosow_meskich_400_ml__BB__1__p.png?sw=600&sh=600&sm=fit;
L'Oréal Paris Elseve Bond Repair;34.89;Aqua/Water, Sodium C14-16 Olefin Sulfonate, Cocamide Mea, Glycerin, Cocamidopropyl Betaine, Glycol Distearate, Sodium Lauroyl Sarcosinate, Parfum/Fragrance, Hexylene Glycol, Coco-Betaine, Sodium Hydroxide, Sodium Chloride, Sodium Benzoate, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Hydroxycitronellal, PEG-55 Propylene Glycol Oleate, Salicylic Acid, Polyquaternium-7, Limonene, Benzoic Acid, Linalool, Benzyl Benzoate, Propylene Glycol, Carbomer, Citric Acid, Hexyl Cinnamal. (F.I.L. Z70015098/1).;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwc30b6681/images/hi-res/434042__LOreal_Paris_Elseve_Bond_Repair_Szampon_200_ml__BB__1__p.png?sw=600&sh=600&sm=fit;
Head&Shoulders Apple Cider Vinegar;18.89;Aqua, Sodium Laureth Sulfate, Sodium Xylenesulfonate, Cocamidopropyl Betaine, Sodium Citrate, Parfum, Citric Acid, Piroctone Olamine, Sodium Chloride, Guar Hydroxypropyltrimonium Chloride, Dimethiconol, Dimethicone, Sodium Benzoate, Sodium Salicylate, Tetrasodium EDTA, TEA-Dodecylbenzenesulfonate, Sodium Hydroxide, Hexamethylindanopyran, Hexyl Cinnamal, Trideceth-10, Maltodextrin, Acetic Acid, Apple Cider Vinegar, CI 19140, Benzyl Alcohol, Propylene Glycol, Triethylene Glycol, CI 17200;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw849a543f/images/hi-res/595114__Head__Shoulders_Clarify__Shine_Szampon_przeciwlupiezowy_400_ml_Z_octem_jablkowym__BB__596__p.png?sw=600&sh=600&sm=fit;
Hiskin For Kids;24.99;Aqua, Lauryl Glucoside, Sodium Coco-amphoacetate, Sodium Cocoyl Sarcosinate, Coco-Glucoside, Glyceryl Oleate, Aloe Barbadensis Leaf Juice, Ceramide 1, Ceramide 3, Ceramide 6II, Phytosphingosine, Panthenol, Trehalose, Urea, Cholesterol, Sodium Lauroyl, Lactylate, Carbomer, Sodium Benzoate, Potassium Sorbate, Citric Acid, Xantan Gum, Peg-120 Methyl Glucose Dioleate, Parfum.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwdef02e7d/images/hi-res/470091_szampon_do_wlosow_kreconych_300_ml_1_1981738_j.jpg?sw=600&sh=600&sm=fit;
Garnier Botanic Therapy Oat Delicacy;18.99;1161367 A - INGREDIENTS: AQUA / WATER • SODIUM LAURETH SULFATE • PEG-200 HYDROGENATED GLYCERYL PALMATE • POLYSORBATE 20 • GLYCERIN • COCO-BETAINE • PEG-7 GLYCERYL COCOATE • PPG-5-CETETH-20 • ALOE BARBADENSIS LEAF JUICE • AVENA SATIVA KERNEL EXTRACT / OAT KERNEL EXTRACT • ORYZA SATIVA STARCH / RICE STARCH • PEG-60 HYDROGENATED CASTOR OIL • COCAMIDE MEA • GLYCOL DISTEARATE • SODIUM CHLORIDE • SODIUM HYDROXIDE • CITRIC ACID • XANTHAN GUM • POLYQUATERNIUM-11 • ACRYLATES COPOLYMER • POTASSIUM SORBATE • SODIUM BENZOATE • PARFUM / FRAGRANCE (F.I.L. C257045/1). Listy składników dla produktów naszej marki są regularnie aktualizowane. Zapoznaj się z listą składników na opakowaniu produktu, gdzie zawsze znajduje się najbardziej aktualna lista składników, aby upewnić się, że jest ona dla Ciebie odpowiednia.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw3992e3aa/images/hi-res/436306__Garnier_Bothanic_Therapy_Kids_2_in_1_Szampon_z_odzywka_250_ml__BB__1__p.png?sw=600&sh=600&sm=fit;
Syoss Blonde&Silver Purple;15.39;Aqua (Water, Eau),Sodium Laureth Sulfate,Cocamidopropyl Betaine,PEG-7 Glyceryl Cocoate,Sodium Chloride,Disodium Cocoamphodiacetate,Citric Acid,Sodium Benzoate,Cocamide MEA,Dimethicone,Parfum (Fragrance),PEG-40 Hydrogenated Castor Oil,Glycol Distearate,Hydrogenated Castor Oil,Guar Hydroxypropyltrimonium Chloride,Laureth-4,PEG-120 Methyl Glucose Dioleate,Glycine,Magnesium Chloride,Lysine HCl,Camellia Oleifera Seed Oil,Sodium Hydroxide,Phenoxyethanol,Limonene,Linalool,Hexyl Cinnamal,Propylene Glycol,Laureth-23,Geraniol,Citronellol,Amodimethicone/Morpholinomethyl Silsesquioxane Copolymer,Benzyl Alcohol,Acid Violet 43,Trideceth-5,Magnesium Citrate,Benzoic Acid,Sodium Salicylate;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw26d60abf/images/hi-res/376883__Syoss_Blonde__Silver_Purple_Szampon_siwych_neutralizujacy_zolte_tony_440_ml__BB__1__p.png?sw=600&sh=600&sm=fit;
Bandi Professional Tricho Esthetic;41.89;Aqua/Water, Cocamidopropyl Betaine, Glycerin, Polyglyceryl-3 Betainate Acetate, Sodium Lauroyl Methyl Isethionate, Sodium Methyl Oleoyl Taurate, Lauryl Glucoside, Coco-Glucoside, Caffeine, Apigenin, Biotinoyl Tripeptide-1, Oleanolic Acid, Wheat Amino Acids, Soy Amino Acids, Arginine HCl, Serine, Threonine, PEG-40 Hydrogenated Castor Oil, PPG-26-Buteth-26, Rosmarinus Officinalis (Rosemary) Leaf Extract, Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract, Camellia Sinensis Leaf Extract, Rubus Idaeus (Raspberry) Fruit Extract, Salvia Officinalis (Sage) Leaf Extract, Cucumis Melo (Melon) Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Citrus Limon (Lemon) Peel Extract, Pyrus Malus (Apple) Fruit Extract, Glyceryl Laurate, Decyl Glucoside, Maltodextrin, Xanthan Gum, Hydroxyethylcellulose, Tetrasodium Glutamate Diacetate, Butylene Glycol, Caprylyl Glycol, 1,2-Hexanediol, Hydroxyacetophenone, Citric Acid, Sodium Hydroxide , Triethyl Citrate, Sodium Chloride, Benzyl Alcohol, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwc40368d8/images/hi-res/387011__szampon_do_wlosow_przeciw_wypadaniu__230_ml__abc__1__reviewed__p.png?sw=600&sh=600&sm=fit;
Fanola Keraterm;38.69;Aqua (Water), Ammonium Lauryl Sulfate, Sodium Myreth Sulfate, Sodium Cocoamphoacetate, MIPA-lauryl sulfate, Glycol Distearate, Parfum (Fragrance), Sodium Chloride, Citric Acid, Guar Hydroxypropyltrimonium Chloride, Cocamide MEA, Laureth-10, Triethylene Glycol, Benzyl Alcohol, Propylene Glycol, Macadamia Ternifolia Seed Oil, Butyrospermum Parkii Butter (Butyrospermum Parkii (Shea) Butter), Methylchloroisothiazolinone Methylisothiazolinone, Hydrolyzed Keratin, Magnesium Nitrate, Magnesium Chloride.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw7eadce6f/images/hi-res/466158_szampon_do_wlosow_300_ml_1_7345229_j.jpg?sw=600&sh=600&sm=fit;
Nivea Volume Strenght;13.79;Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Decyl Glucoside, Sodium Chloride, Bambusa Vulgaris Shoot Extract, Soluble Collagen, Guar Hydroxypropyltrimonium Chloride, Dicaprylyl Ether, Propylene Glycol, Glyceryl Oleate, Butylene Glycol, Citric Acid, Sodium Benzoate, Benzoic Acid, Benzyl Alcohol, Citronellol, Parfum;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw9dd553f2/images/hi-res/218724__Nivea_Volume_Strength_Szampon_pielegnujacy_do_wlosow_400_ml__BB__1__p.png?sw=600&sh=600&sm=fit;
Tołpa Green Normalizacja;18.99;Aqua, Lauryl Glucoside, Sodium Coco-Sulfate, Glycerin, Polyglyceryl-4 Caprate, Betaine, Melaleuca Alternifolia Leaf Oil, Arctium Majus Root Extract, Peat Extract, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Lactic Acid, Limonene, Methylpropanediol, Benzoic Acid, Caprylyl Glycol, Sodium Benzoate, Potassium Sorbate, Triethyl Citrate, Glyceryl Caprylate.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw46dd0c8a/images/hi-res/385946_normalizujacy_szampon_do_wlosow_300_ml_1_3690992_p.png?sw=600&sh=600&sm=fit;
Sendo Restoring;44.99;Aqua/Water/Eau, Sodium Coceth Sulfate, Sodum Chloride, Cocamidopropyl Betaine, Disodium Cocoamphodiacetate, Hydrolyzed Tomato Skin, Phoenix Dactylifera (Date) Fruit Extract, Oryza Sativa (Rice) Extract, Hydrolyzed Corn Starch, Glycerin, Parfum/Fragrance, Polyquaternium-7, Citric Acid, Sodium Benzoate, Potassium Sorbate, Sorbic Acid;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw1cf128e8/images/hi-res/572992__Sendo_Szampon_odbudowujacy_250_ml__BB__1__p.png?sw=600&sh=600&sm=fit;
Joanna Vegan;12.49;Aqua*,Glycerin*,Sodium Coco-Sulfate*,Coco-Glucoside*,Cocamidopropyl Betaine*,Aloe Barbadensis Leaf Juice*,Hydroxypropyl Guar Hydroxypropyltrimonium Chloride,Citric Acid*,Sodium Chloride*,Tetrasodium Glutamate Diacetate**,Parfum,Potassium Sorbate**,Sodium Benzoate**,*składniki pochodzenia naturalnego,**składniki syntetyczne zabezpieczające przed utratą jakości, aprobowane przez instytucje certyfikujące kosmetyki naturalne;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwa7b21729/images/hi-res/383544__Joanna_Vegan_Szampon_nawilzajacy_300_ml__BB__1__p.png?sw=600&sh=600&sm=fit;
LaQ Zapach Seksu i Biznesu;14.89;Aqua, Sodium Coco-Sulfate, Coco-Glucoside, Cocamidopropyl Betaine, Glycerin, Sodium Cocoyl Isethionate, Glyceryl Oleate, Piper Nigrum Seed Extract, Elettaria Cardamomum Seed Extract, Urtica Dioica Leaf Extract, Rosmarinus Officinalis Leaf Extract, Cucumis Sativus Fruit Extract, Citrus Medica Limonum Fruit Extract, Mentha Piperita Leaf Extract, Camellia Sinensis Leaf Extract, Citrus Grandis Fruit Extract, Sodium Chloride, Sodium Benzoate, Potassium Sorbate, Citric Acid, Parfum.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw0eb51698/images/hi-res/406618__2_3696542_j.jpg?sw=600&sh=600&sm=fit;
Orientana Objętość;27.49;INCI: Aqua, Lauryl Glucoside, Palm Kernel/Coco Glucoside, Cocamidopropyl Betanine, Sodium Cocoyl Glutamate, Glycerin, Jasminum Officinale Extract, Emblica Officinalis Fruit Powder, Sapindus Mukurossi Fruit Powder, Aloe Barbadensis Leaf Juice, Glyceryl Oleate, Camellia Sinensis Leaf Extract, Sodium PCA, Rosa Damascena Flower Water, Hydrolyzed Wheat Protein, Terminalia Bellerica Fruit Extract, Oryza Sativa Bran Oil, Acacia Concinna Fruit Powder, Symplocos Racemosa Bark Extract, Zinc PCA, Polyquaternium 10, Panthenol, Decyl Glucoside, Camellia Sinensis Seed Oil, Hydrolyzed Sweet Almond Protein, Xanthan Gum, Jasminum Sambac Flower Extract, Citric Acid, Sodium Benzoate, Potassium Sorbate.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwee5255be/images/hi-res/299736__Orientana_Szampon_do_wlosow_OBJETOSC_Jasmin_Migdalecznik_210__WB__1_p.png?sw=600&sh=600&sm=fit;
Radical Przeciwłupieżowy;9.99;Aqua (Water), Sodium Laureth Sulfate, Cocamidopropyl Betaine, Propylene Glycol, Salix Alba (Willow) Bark Extract, Piroctone Olamine, Equisetum Arvense (Horsetail) Leaf Extract, Inulin, Alpha-Glucan Oligosaccharide, Silicone Quaternium-22, Polyglyceryl-3 Caprate, Dipropylene Glycol, Polyquaternium-10, Potassium Sorbate, Sodium Benzoate, Lactic Acid, Sodium Chloride, Disodium EDTA, Parfum (Fragrance).;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw88c4fb7c/images/hi-res/386377__RADICAL_Szampon_przeciwlupiezowy_do_kazdego_rodzaju_wlosow_4__WB__3_p.png?sw=600&sh=600&sm=fit;
Hairy Tale Cosmetics Murky;59.79;Aqua, Decyl Glucoside, Glycerin, Panthenol, Coco-Glucoside, Glyceryl Oleate, Ammonium Glycyrrhizate, Babassu Oil Polyglyceryl-4 Esters, Potassium Azeloyl Diglycinate, Artemisia Absinthium Extract, Niacinamide, Inulin, Faex Extract, Saccharomyces Cerevisi;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw3bc7dba3/images/hi-res/578352_szampon_do_przetluszczajacej_sie_skory_glowy_250_ml_1_3950069_j.jpg?sw=600&sh=600&sm=fit;
Hebe Cosmetics Smoothing Shampoo;9.99;Aqua, Sodium Coco-Sulfate, Decyl Glucoside, Cocamidopropyl Betaine, Lauryl Glucoside, Coco-Glucoside, Glyceryl Oleate, Glycerin, Hydrolyzed Wheat Protein, Hydrolyzed Wheat Starch, Linum Usitatissimum Seed Extract, Centaurea Cyanus Flower Extract, Parfum, Citric Acid, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol, Propylene Glycol.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw1a6e8475/images/hi-res/408160__szampon_do_wlosow__400_ml__abc__1__reviewed__p.png?sw=600&sh=600&sm=fit;
Sessio Hair Vege Coctail;12.99;Aqua, Sodium Lauroyl Methyl Isethionate, Cocamidopropyl Betaine, Pumpkin Seed Oil Polyglyceryl-4 Esters, Glycerin, Brassica Oleracea Acephala Leaf Extract, Hydrolyzed Soy Protein, Phenoxyethanol, Polysorbate 20, Parfum, Polyquaternium-10, Sodium Benzoate, Caprylyl Glycol, Citric Acid, Gluconolactone, Potassium Sorbate, Phenethyl Alcohol, Calcium Gluconate, Citronellol, Hexyl Cinnamal, Linalool.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw11039c6f/images/hi-res/490723_wygladzajacy_szampon_do_wlosow_300_g_1_1145668_j.jpg?sw=600&sh=600&sm=fit;
Matrix Instacure Build-A-Bond;43.99;AQUA / WATER • DECYL GLUCOSIDE • SODIUM COCOYL ISETHIONATE • COCAMIDOPROPYL BETAINE • CITRIC ACID • SODIUM HYDROXIDE • PANTHENOL • PARFUM / FRAGRANCE • GLYCERIN • DIMETHICONE • PEG-150 DISTEARATE • PPG-5-CETETH-20 • SODIUM BENZOATE • SODIUM CHLORIDE • PEG-55 PROPYLENE GLYCOL OLEATE • PROPYLENE GLYCOL • CARBOMER • LIMONENE • COCO-CAPRYLATE/CAPRATE • POLYQUATERNIUM-67 • SALICYLIC ACID • AMODIMETHICONE • SODIUM PHYTATE • GLYCOL DISTEARATE • SQUALANE • COCO-BETAINE • LINALOOL • ACRYLATES/BEHENETH-25 METHACRYLATE COPOLYMER • CITRONELLOL • TRIDECETH-6 • BENZYL ALCOHOL • ALCOHOL • CETRIMONIUM CHLORIDE • CI 17200 / RED 33 (F.I.L. Z70041839/1).;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw7d9b6f06/images/hi-res/575325_szampon_do_wlosow_300_ml_1_4359272_j.jpg?sw=600&sh=600&sm=fit;
Gliss Colour Perfector;14.89;Aqua (Water, Eau),Sodium Laureth Sulfate,Cocamidopropyl Betaine,PEG-7 Glyceryl Cocoate,Magnesium Chloride,Dimethicone,Vaccinium Macrocarpon (Cranberry) Fruit Extract,Dimethylsilanol Hyaluronate,Glycerin,Hydrolyzed Keratin,Magnesium Citrate,Parfum (Fragrance),Sodium Benzoate,PEG-120 Methyl Glucose Dioleate,Amodimethicone,Citric Acid,Sodium Chloride,Guar Hydroxypropyltrimonium Chloride,PEG-40 Hydrogenated Castor Oil,Hydrogenated Castor Oil,Glycol Distearate,Laureth-4,Prunus Armeniaca (Apricot) Kernel Oil,Laureth-23,Trideceth-10,Sodium Hydroxide,Propylene Glycol,Benzyl Alcohol,Phenoxyethanol,Sodium Salicylate,Potassium Sorbate,Sorbic Acid;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw0efd3cbb/images/hi-res/220270__Gliss_Color_Perfector_Szampon_400_ml__BB__1__p.png?sw=600&sh=600&sm=fit;
