Name;Price;Ingredients;Photo URL;
Hair Of The Day By Only Bio;14.79;Składniki/Ingredients (INCI): Aqua, Lauryl Glucoside, Sodium Methyl Cocoyl Taurate, Sodium Cocoyl Isethionate, Disodium Lauryl Sulfosuccinate, Sodium Lauryl Glucose Carboxylate, Sodium Olivamphoacetate, Ceramide NP, Ceramide AP, Ceramide EOP, Ceramide NG, Olea Europaea (Olive) Fruit Oil, Withania Somnifera Root Extract, Ganoderma Lucidum Extract, Rhodiola Rosea Root Extract, Caffeine, Prunus Armeniaca (Apricot) Kernel Oil, Ricinus Communis (Castor) Seed Oil, Helianthus Annus Seed Oil, Tocopherol, Phytosphingosine, Cholesterol, Polyglyceryl-10 Stearate, Polyglyceryl-6 Behenate, Coco-Glucoside, Glycol Distearate, Cetearyl Alcohol, Glyceryl Stearate, Sodium Cetearyl Sulfate, Triethyl Citrate, Sodium Levulinate, Behenic Acid, Lysolecithin, Xantan Gum, Glycerin, Sodium Chloride, Citric Acid, Sodium Dehydroacetate, Potassium Sorbate, Sodium Benzoate, CI 15985, CI 16035, Parfum, Tetramethyl Acetyloctahydronaphthalenes, Citrus Aurantium Peel Oil, Linalool, Citronellol, Limonene.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwf31e8314/images/hi-res/536104_ceramidowy_szampon_intensywnie_rewitalizujacy_do_wlosow_300_ml_1_3835365_p.png?sw=600&sh=600&sm=fit;
L'Oréal Paris Elseve Hyaluron Plump;14.99;Aqua/Water, Sodium Laureth Sulfate, Glycol Distearate, Sodium Chloride, Cocamidopropyl Betaine, Dimethicone, CI 60730/Ext. Violet 2, Guar Hydroxypropyltrimonium Chloride, Cocamide Mea, Coco-Betaine, Sodium Benzoate, Sodium Hydroxide, Sodium Hyaluronate, Phenoxyethanol, Steareth-6, Acetic Acid, PEG-100 Stearate, Trideceth-10, Trideceth-3, Salicylic Acid, Limonene, Fumaric Acid, Amodimethicone, Carbomer, Citric Acid, Hexylene Glycol, Parfum/Fragrance (F.I.L. Z289767/1);https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw91924136/images/hi-res/410264__LOreal_Paris_Elseve_Hyaluron_Plump_Selniajacy_nawilzeniem_przez_72_h_400_ml__BB__1__p.png?sw=600&sh=600&sm=fit;
Yope Hydrate My Hair;23.99;Aqua, Coco Glucoside, Sodium Coco-Sulfate, Cocamidopropyl Betaine, Disodium Cocoyl Glutamate, Sorbitol, Decyl Glucoside, Macadamia Seed Oil Polyglyceryl-4 Esters, Glycerin, Levulinic Acid, Ocimum Basilicum (Basil) Flower/Leaf Extract, Cocodimonium Hydroxypropyl Hydrolyzed Wheat Protein, Sodium Cocoyl/Olivoyl Hydrolyzed Oat Protein, Potassium Cocoyl Rice Amino Acids, Guar Hydroxypropyltrimonium Chloride, Sodium Levulinate, Saponaria officinalis Root Extract, Fructose, Fructosyl Cocoate/Olivate, Gluconolactone, Parfum, Citric Acid, Salicylic Acid, Lactic Acid, Sodium Benzoate, Potassium Sorbate, Benzyl Alcohol, Benzyl Salicylate, Hexyl Cinnamal, Linalool.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw8b5d8980/images/hi-res/420138__YOPE_Bounce_Hydrate_My_Hair_Szampon_Do_Suchej_Skory_Glowy_30__WB__1__reviewed__p.png?sw=600&sh=600&sm=fit;
Pantene Pro-V Aqua Light;13.99;Aqua, Sodium Laureth Sulfate, Sodium Chloride, Cocamidopropyl Betaine, Sodium Xylenesulfonate, Parfum, Citric Acid, Sodium Benzoate, Cocamide MEA, Sodium Citrate, Sodium Salicylate, Sodium Hydroxide, Panthenol, Tetrasodium EDTA, Guar Hydroxypropyltrimonium Chloride, Hexyl Cinnamal, Histidine;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw2e037900/images/hi-res/238929__Pantene_ProV_AquaLight_Shampoo_For_Greasy_Hair_400ml__BB__1__p.png?sw=600&sh=600&sm=fit;
Equilibra Aloe;24.99;Aqua (Water), Aloe Barbadensis Leaf Juice, Ammonium Lauryl Sulfate, Cocamidopropyl Betaine, Sodium Cocoamphoacetate, Glycerin, Urtica dioica (Nettle) Leaf Extract, Linum usitatissimum (Linseed) Seed Extract, Hydrolyzed Wheat Protein, Prunus amygdalus dulcis (sweet almond) oil, Guar Hydroxypropyltrimonium Chloride, Coco-Glucoside, Glyceryl Oleate, Parfum (Fragrance), Potassium Sorbate, Phenoxyethanol, Benzoic Acid, Citric Acid, Tetrasodium glutamate diacetate, Dehydroacetic Acid.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw201c1dd0/images/hi-res/295149_szampon_do_wlosow_250_ml__p.png?sw=600&sh=600&sm=fit;
Olaplex N.4 Bond Maintenance;99.79;Water (Aqua/Eau), Sodium Lauroyl Methyl Isethionate, Cocamidopropyl Hydroxysultaine, Potassium Cocoyl Glycinate, Disodium Cocoyl Glutamate, Sodium Lauroyl Sarcosinate, Potassium Cocoate, Decyl Glucoside, Glycereth-26, Bis-Aminopropyl Diglycol Dimaleate, Cocamidopropylamine Oxide, Disodium Laureth Sulfosuccinate, Glycol Distearate, Sodium Cocoyl Glutamate, Methyl Gluceth-20, Acrylates Copolymer, PEG-120 Methyl Glucose Dioleate, Amodimethicone, Citric Acid, Sodium Lauryl Sulfoacetate, Polyquaternium-10, Ethylhexylglycerin, DivinylDimethicone/Dimethicone Copolymer, Polyquaternium-11, Trisodium Ethylenediamine Disuccinate, Guar Hydroxypropyltrimonium Chloride, C11-15 Pareth-7, Laureth-9, Glycerin, Trideceth-12, C12-13 Pareth-23, C12-13 Pareth-3, Hydrolyzed Vegetable Protein, PG-Propyl Silanetriol, Panthenol, Acetic Acid, Tetrasodium EDTA, Pentasodium Triphosphate, Sodium Hydroxide, Disodium EDTA, Helianthus Annus (Sunflower) Seed Oil, Tocopherol, Prunus Armeniaca (Apricot) Kernel Oil, Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate, Pseudozyma Epicola/Argania Spinosa Kernel Oil Ferment Filtrate, Quaternium-95, Propanediol, Helianthus Annus (Sunflower) Seed Extract, PEG-8, Euterpe Oleracea Fruit Extract, Punica Granatum Extract, Rosemarinus Officinalis (Rosemary) Leaf Extract, Musa Sapientum (Banana) Fruit Extract, Origanum Vulgare Lear Extract, Morinda Citrifolia Fruit Extract, Articum Lappa Root Extract, PEG-8/SMDI Copolymer, Sodium Hyaluronate, Palmitoyl Myristyl Serinate, Sodium Polyacrylate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Biotin, Benzoic Acid, Phenoxyethanol, Chlorphenesin, Potassium Sorbate, Sodium Benzoate, Fragrance(Parfum), Citral, Hexyl Cinnamal, Limonene;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwb39ef955/images/hi-res/488608_szampon_do_wlosow_250_ml_1_7530329_j.jpg?sw=600&sh=600&sm=fit;
L'Oréal Paris Elseve Hyaluron Pure;13.99;1202785 L - INGREDIENTS: AQUA / WATER • SODIUM LAURETH SULFATE • COCAMIDOPROPYL BETAINE • PARFUM / FRAGRANCE • COCAMIDE MEA • SODIUM CHLORIDE • SODIUM BENZOATE • SODIUM HYDROXIDE • HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE • SODIUM HYALURONATE • SALICYLIC ACID • LIMONENE • CITRIC ACID • HEXYLENE GLYCOL (F.I.L. Z70031512/1).;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw7c143edf/images/hi-res/491559__LOreal_Paris_Elseve_Hyaluron_Pure_Szampon_oczyszczajacy_400_ml__BB__1__p.png?sw=600&sh=600&sm=fit;
L'Oréal Paris Elseve Arginine Resist X3;14.89;1261424 - INGREDIENTS: AQUA / WATER • SODIUM LAURETH SULFATE • DIMETHICONE • COCO-BETAINE • SODIUM CHLORIDE • GLYCOL DISTEARATE • GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE • DIAMINOPYRIMIDINE OXIDE • COCAMIDE MIPA • SODIUM BENZOATE • SODIUM HYDROXIDE • ARGININE • SALICYLIC ACID • LIMONENE • FUMARIC ACID • BIOTIN • CARBOMER • CITRIC ACID • HEXYLENE GLYCOL • PARFUM / FRAGRANCE (F.I.L. Z70017474/1).;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw725d2507/images/hi-res/235066__loreal_paris_elseve_full_resist_szampon_wzmacniajacy_do_wlosow_oslabionych_400_ml_front_1298088_WB_j.jpg?sw=600&sh=600&sm=fit;
Pantene Pro-V Intensive Repair;12.99;Aqua,Sodium Laureth Sulfate,Sodium Citrate,Cocamidopropyl Betaine,Sodium Xylenesulfonate,Sodium Chloride,Stearyl Alcohol,Cocamide MEA,Glycol Distearate,Parfum,Glycerin,Sodium Benzoate,Citric Acid,Cetyl Alcohol,Sodium Salicylate,Guar Hydroxypropyltrimonium Chloride,Trihydroxystearin,Sodium Hydroxide,Polyquaternium-6,Tetrasodium EDTA,Panthenol,Panthenyl Ethyl Ether,Hexyl Cinnamal,Histidine;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw5c2c71a4/images/hi-res/230392__Pantene_ProV_Repair__Protect_Szampondo_wlosow_suchych_i_zniszczonych_400_ml__BB__1__p.png?sw=600&sh=600&sm=fit;
Yope Balance My Hair;24.89;Aqua, Cocamidopropyl Betaine, Sodium Coco-Sulfate, Coco Glucoside, Sodium Cocoyl Alaninate, Decyl Glucoside, Sodium Babassuamphoacetate, Propanediol, Succinic Acid, Gluconolactone, Vinegar, Vitis Vinifera (Grape) Fruit Extract, Disodium Cocoyl Glutamate, Myroxylon Balsamum (Balsam Tolu) Resin, Potassium Cocoyl Rice Amino Acids, Fructose, Gluconic Acid, Glucose, Commiphora Myrrha Resin Extract, Caesalpinia Spinosa Gum, Styrax Benxoin Resin Extract, Backhousia Citriodora Leaf Extract, Guar Hydroxypropyltrimonium Chloride, Glycerin, Sodium Levulinate, Levulinic Acid, Parfum, Sodium Hydroxide, Citric Acid, Hexyl Cinnamal, Limonene, Linalool.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw6c3696d5/images/hi-res/420139__YOPE_Bounce_Balance_My_Hair_Szampon_Do_Przetluszczajacej_Sie__WB__1__reviewed__p.png?sw=600&sh=600&sm=fit;
L'Oréal Paris Elseve Dream Long;14.89;1199626 B - INGREDIENTS: AQUA / WATER • SODIUM LAURETH SULFATE • GLYCERIN • DIMETHICONE • COCO-BETAINE • SODIUM CHLORIDE • GLYCOL DISTEARATE • GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE • NIACINAMIDE • COCAMIDE MIPA • RICINUS COMMUNIS SEED OIL / CASTOR SEED OIL • SODIUM BENZOATE • SODIUM HYDROXIDE • HYDROXYCITRONELLAL • HYDROLYZED WHEAT PROTEIN • HYDROLYZED CORN PROTEIN • HYDROLYZED SOY PROTEIN • PHENOXYETHANOL • SALICYLIC ACID • LIMONENE • FUMARIC ACID • BENZYL SALICYLATE • LINALOOL • BENZYL ALCOHOL • PANTHENOL • ALPHA-ISOMETHYL IONONE • CARBOMER • CITRIC ACID • CITRONELLOL • COUMARIN • HEXYLENE GLYCOL • HEXYL CINNAMAL • PARFUM / FRAGRANCE (F.I.L. C235095/2).;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw422303ff/images/hi-res/355798__LOreal_Paris_Elseve_Dream_Long_Szampon_Odbudowujacy_dla_wlos__WB__4__reviewed__p.png?sw=600&sh=600&sm=fit;
Hairy Tale Cosmetics Hairmoji Sweet Cleans;24.39;Aqua, Sodium Lauroyl Methyl Isethionate, Coco-Glucoside, Propanediol, Sodium Methyl Cocoyl Taurate, Xanthan Gum, Ocimum Basilicum (Basil) Leaf Extract, Saccharide Isomerate, Biosaccharide Gum-1, Polyglyceryl-6 Caprylate, Polyglyceryl-4 Caprate, Glycerin, Guar Hydroxypropyltrimonium Chloride, Trisodium Ethylenediamine Disuccinate, Benzyl Alcohol, Sodium Benzoate, Dehydroacetic Acid, Citric Acid, Phenoxyethanol, Sodium Citrate, Sodium Chloride, Parfum.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw647d86c9/images/hi-res/484850_lagodny_szampon_do_wlosow_240_ml_1_3130993_j.jpg?sw=600&sh=600&sm=fit;
Barwa Naturalna;7.99;Aqua,Sodium Laureth Sulfate,Cocamidopropyl Betaine,Cocamide DEA,PEG-75,Lanolin,Sodium Chloride,Cocamidopropylamine Oxide,Acetum,Prunus Armeniaca Fruit Extat,Prunus Persica Fruit Extract,Pyrus Malus Fruit Extract,Biotin,Panthenol,Linoleic Acid,Linolenic Acid,Tocopheryl Acetate,Retinyl Palmitate,Bioflavonoids,Pyridoxine HCl,Propylene Glycol,Polysorbate 20,Polysorbate 80,Citric Acid,Parfum,Methylchloroisothiazolinone,Methylisothiazolinone;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw47a248f4/images/hi-res/386256__oczyszczajacy_szampon_octowy_do_wlosow__300_ml__abc__1__reviewed__p.png?sw=600&sh=600&sm=fit;
Hebe Naturals Deep Clean Shampoo;12.59;Aqua, Sodium Coco-Sulfate, Decyl Glucoside, Cocamidopropyl Betaine, Glycerin, Lauryl Glucoside, Inulin, 4-Terpineol, Salicylic Acid, Salix Alba Bark Extract, Methylpropanediol, Citrus Grandis Fruit Extract, Parfum, Citric Acid, Sodium Benzoate, Potassium Sorbate, Hexyl Cinnamal, Limonene, Linalool.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw42c4f9bc/images/hi-res/459302_gleboko_oczyszczajacy_szampon_do_wlosow_400_ml_1_1499434__p.png?sw=600&sh=600&sm=fit;
Head&Shoulders Classic Clean;13.99;Aqua, Sodium Laureth Sulfate, Sodium Xylenesulfonate, Cocamidopropyl Betaine, Sodium Citrate, Parfum, Citric Acid, Cocamide MEA, Glycol Distearate, Piroctone Olamine, Dimethiconol, Sodium Chloride, Guar Hydroxypropyltrimonium Chloride, Dimethicone, Sodium Benzoate, TEA-Dodecylbenzenesulfonate, Sodium Salicylate, Hexyl Cinnamal, Linalool, Tetrasodium EDTA, Sodium Hydroxide, Trideceth-10, Glycerin, Niacinamide, Panthenol, Tocopheryl Acetate, Acetic Acid, Benzyl Alcohol, Triethylene Glycol, Propylene Glycol, CI 42090, CI 17200;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwf3e624a4/images/hi-res/502232__Head__Shoulders_Classic_Clean_Anti_Dhampoo_95ml_for_Daily_Use_Cleen_Feeling__BB__1__p.png?sw=600&sh=600&sm=fit;
